year,sex,age,cohort,p10_guv,p25_guv,p50_guv,p75_guv,n,p10_epuf,p25_epuf,p50_epuf,p75_epuf,p10_cens,p25_cens,p50_cens,p75_cens,gap_p10,gap_p25,gap_p50,gap_p75
1982,2,26,1981,4883.543,10626.76,20012.95,29582.14,13742,4681.391806618796,10852.317369889028,20427.891519791112,29790.675133028704,False,False,False,False,-0.042275520733643164,0.02100329150788475,0.02052163438642861,0.007024628698561906
1983,2,27,1981,5000.265,10798.21,20810.98,30970.63,13644,4896.220296231675,11016.495666521269,21012.945437994273,31009.395209467275,False,False,False,False,-0.02102737168651786,0.020013375906542164,0.009657965184234734,0.0012508937965429552
1984,2,28,1981,4810.114,11068.96,21516.76,32534.61,13977,4914.297200497041,11204.597617133251,21426.335794167095,32434.361523280466,False,False,False,False,0.02142796817123719,0.012179400897051582,-0.0042113563451344795,-0.003086044120144436
1985,2,29,1981,4839.326,11062.67,21597.55,33649.36,14249,4936.150085596795,11391.11558214645,22022.82345881647,33793.64289370114,False,False,False,False,0.019810237627933724,0.029257339214089212,0.019499463214978283,0.004278668138311452
1986,2,30,1981,4889.214,11318.97,22219.81,35213.12,14417,5017.437421182649,11521.522967160157,22485.55288752224,35307.8929638779,False,False,False,False,0.025887775128482417,0.017736769304302808,0.011888775772069465,0.002687795224429897
1987,2,31,1981,5018.824,11352.32,22821.86,36230.03,14705,4869.14333612741,11541.673093042751,22903.00754400671,36428.405699916184,False,False,False,False,-0.030277628029757093,0.01654210431132467,0.0035493871741016114,0.0054605137289975274
1988,2,32,1981,4950.388,11594.88,22745.4,36509.98,14985,5033.704456707652,11629.593055152161,23259.186110304323,36798.11533869042,False,False,False,False,0.016690228208211266,0.0029893535943793853,0.0223372283697488,0.007860982368609099
1989,2,33,1981,5107.182,11783.63,22889.96,37119.84,15193,4992.357909718141,11648.83512267566,23464.08217567526,37442.68432288605,False,False,False,False,-0.022739459235671403,-0.01150509461840734,0.024772447396375852,0.008659748133707566
1990,2,34,1981,5349.889,12224.67,23216.35,37742.71,15303,4944.739027283512,11963.078291814947,23926.156583629894,38281.85053380783,False,False,False,False,-0.0787516244161628,-0.021630943467434792,0.030115506386095094,0.01418356300619374
1991,2,35,1981,5589.179,12770.63,23638.57,38175.99,15268,5250.955450590785,12200.749429313883,24092.61912624007,38918.84628084935,False,False,False,False,-0.06242235633700469,-0.04565062472015946,0.019025833252828417,0.019271829558443105
1992,2,36,1981,5664.931,12941.32,24338.89,39171.53,15147,5717.593084734383,12939.815928609394,24976.854001734413,40324.07754496881,False,False,False,False,0.00925321310007503,-0.00011622916370038922,0.025874073507703228,0.028998540816994094
1993,2,37,1981,5841.086,13188.32,24437.44,39644.23,15272,5725.116336194545,13065.0090749055,25102.433166391464,40809.80362723291,False,False,False,False,-0.020053868489519983,-0.009393995828964974,0.026848397839921326,0.028976923365322226
1994,2,38,1981,6149.19,13589.77,24865.68,40537.77,15529,5896.0897290215635,13374.057190219644,25310.043714824275,41416.435169712444,False,False,False,False,-0.04203099242949718,-0.016000503964225223,0.01771276226131063,0.02144365471853122
1995,2,39,1981,6631.324,14278.41,25499.68,41370.05,15858,5917.051705170518,13524.689611818327,25640.557389072244,42123.77285347583,False,False,False,False,-0.11396618053545447,-0.05423173092376008,0.005509467793525859,0.018055068095590748
1996,2,40,1981,6624.187,14474.72,26362.94,42199.19,16078,6069.642605249997,13656.695861812494,26209.82034085226,42763.39108244316,False,False,False,False,-0.08742792289433056,-0.05817373889313232,-0.005825073331491836,0.013281361482452335
1997,2,41,1981,7390.515,15204.12,27419.49,43669.13,16203,6644.683399094886,14374.213067429753,26985.550947344535,44071.87968787424,False,False,False,False,-0.10638037525237526,-0.05613060170604934,-0.015952501736773525,0.009180485111629673
1998,2,42,1981,8215.764,16453.06,28704.71,45780.84,16369,6997.865765934822,15072.326265090385,28260.611747044473,46158.999186839304,False,False,False,False,-0.16044953578759466,-0.08765111344955792,-0.015592196676982185,0.008226277590563658
