fold,smooth_frac,year,heldout_negll,n_test,cells,bad_cells
0,0.0003,1996,1003702.5749907993,704060,119,0
0,0.0003,1997,1018168.6980303865,717318,120,0
0,0.0003,1998,1034076.4494669206,730678,119,0
0,0.0003,1999,1053173.894842841,743629,121,0
0,0.0003,2000,1077212.9365744302,756319,121,0
0,0.0003,2001,1086699.346513231,757642,122,0
0,0.0003,2002,1094442.6673742053,754481,121,0
0,0.0003,2003,1102416.889408799,755926,123,0
0,0.0003,2004,1113089.9356253762,763103,123,0
0,0.0003,2005,1124541.3249113804,770460,123,0
0,0.0003,2006,1134165.7288937278,776369,123,0
0,0.001,1951,324846.60468258685,281644,107,0
0,0.001,1952,330634.14144080976,290220,109,0
0,0.001,1953,330735.0578329099,295456,109,0
0,0.001,1954,326531.72049065033,289625,109,0
0,0.001,1955,380961.45337591245,317531,112,0
0,0.001,1956,384663.64259657403,330175,113,0
0,0.001,1957,394960.55432989687,344934,112,0
0,0.001,1958,396319.97449517896,341843,112,0
0,0.001,1959,415816.90393618157,349276,111,0
0,0.001,1960,420762.4211640124,354096,111,0
0,0.001,1961,423366.7022949693,355897,112,0
0,0.001,1962,423327.3905238305,362813,111,0
0,0.001,1963,428052.823547424,369567,112,0
0,0.001,1964,429577.4833331235,378256,111,0
0,0.001,1965,437634.78174505214,393405,112,0
0,0.001,1966,496479.8309742564,413235,112,0
0,0.001,1967,503655.3527729515,423274,113,0
0,0.001,1968,529962.5822198964,436569,113,0
0,0.001,1969,543790.9009447726,450861,113,0
0,0.001,1970,552141.4720505252,454635,114,0
0,0.001,1971,552883.5810079073,455814,114,0
0,0.001,1972,582168.0362193339,470101,114,0
0,0.001,1973,614436.4821981647,487883,114,0
0,0.001,1974,637590.9466000738,495795,114,0
0,0.001,1975,647156.3272162979,491604,114,0
0,0.001,1976,661354.4861043263,503839,114,0
0,0.001,1977,683075.4854044562,519291,113,0
0,0.001,1978,700673.8938747178,536310,113,0
0,0.001,1979,721753.2928566082,549899,114,0
0,0.001,1980,738891.6586558785,553028,114,0
0,0.001,1981,744451.202798375,553485,114,0
