sex,cohort,source,g0,g1,g2,g3,h_young,h_old,delta,g0_raw,g1_raw,g2_raw,g3_raw
male,1940,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1941,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1942,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1943,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1944,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1945,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1946,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1947,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1948,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1949,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1950,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1951,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1952,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1953,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1954,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1955,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1956,extrap_back,10.435412,0.163274,-0.141221,0.000000,-0.685560,-0.253546,-0.078337,9.812648,0.615181,-0.141221,0.000000
male,1957,fit,10.394244,0.184639,-0.126133,0.000000,-0.749418,-0.393779,-0.067587,9.775921,0.588265,-0.126133,0.000000
male,1958,fit,10.420730,0.181205,-0.134858,0.000000,-0.835602,-0.383454,-0.076605,9.785566,0.612751,-0.134858,0.000000
male,1959,fit,10.434383,0.158425,-0.149293,0.000000,-0.513594,-0.267745,-0.084782,9.798713,0.636163,-0.149293,0.000000
male,1960,fit,10.461838,0.150785,-0.144138,0.000000,-0.601116,-0.141321,-0.086046,9.851589,0.612027,-0.144138,0.000000
male,1961,fit,10.465864,0.141314,-0.151684,0.000000,-0.728068,-0.081432,-0.076663,9.851451,0.626703,-0.151684,0.000000
male,1962,fit,10.479514,0.117108,-0.141695,0.000000,-1.069026,-0.056403,-0.078687,9.929402,0.570532,-0.141695,0.000000
male,1963,fit,10.506813,0.117864,-0.143289,0.000000,-1.194162,-0.023758,-0.070939,9.951411,0.576389,-0.143289,0.000000
male,1964,fit,10.499725,0.095968,-0.130061,0.000000,-1.323922,0.078939,-0.072377,10.013220,0.512163,-0.130061,0.000000
male,1965,fit,10.490127,0.081224,-0.124427,0.000000,-1.527375,0.020429,-0.068152,10.041635,0.479390,-0.124427,0.000000
male,1966,fit,10.488045,0.075397,-0.109641,0.000000,-1.690786,0.021908,-0.052276,10.086729,0.426248,-0.109641,0.000000
male,1967,fit,10.521094,0.077970,-0.101916,0.000000,-1.809760,-0.014856,-0.045175,10.135437,0.404101,-0.101916,0.000000
male,1968,fit,10.515101,0.071295,-0.088106,0.000000,-1.772176,-0.027063,-0.060290,10.175478,0.353234,-0.088106,0.000000
male,1969,fit,10.487551,0.070024,-0.081036,0.000000,-1.632372,-0.058937,-0.044539,10.168060,0.329339,-0.081036,0.000000
male,1970,fit,10.486218,0.086518,-0.084439,0.000000,-1.564864,-0.021910,-0.048778,10.131625,0.356723,-0.084439,0.000000
male,1971,fit,10.493266,0.088581,-0.080808,0.000000,-1.759954,-0.019355,-0.051171,10.144668,0.347167,-0.080808,0.000000
male,1972,fit,10.463666,0.087785,-0.074829,0.000000,-1.711755,0.036634,-0.036347,10.131648,0.327238,-0.074829,0.000000
male,1973,fit,10.445524,0.086161,-0.068023,0.000000,-1.564761,-0.083256,-0.054157,10.133528,0.303835,-0.068023,0.000000
male,1974,fit,10.433504,0.099840,-0.077823,0.000000,-1.334910,-0.083256,-0.042926,10.074533,0.348874,-0.077823,0.000000
male,1975,fit,10.437845,0.113782,-0.076338,0.000000,-1.068644,-0.083256,-0.049891,10.060369,0.358064,-0.076338,0.000000
male,1976,fit,10.415706,0.109554,-0.060761,0.000000,-1.020888,-0.083256,-0.057295,10.084871,0.303989,-0.060761,0.000000
male,1977,fit,10.388300,0.108477,-0.053431,0.000000,-0.696397,-0.083256,-0.078164,10.077953,0.279456,-0.053431,0.000000
