year,agg_taxable_musd,agg_uncapped_musd,cov_share_workers,cov_share_earnings,price_2013_to_nominal,renorm_comp
2032,18786285.743133,23753352.778575,nan,nan,1.56477144,1
2033,19537324.221521,24706355.112038,nan,nan,1.60232966,1
2034,20313443.308982,25692350.058295,nan,nan,1.64079317,1
2035,21119164.723716,26716206.329788,nan,nan,1.68017999,1
2036,21952590.922333,27775241.098155,nan,nan,1.72051228,1
2037,22807973.579110,28861680.829030,nan,nan,1.76181273,1
2038,23702237.033672,29997578.238082,nan,nan,1.80410877,1
2039,24625682.251848,31171846.682173,nan,nan,1.84742021,1
2040,25592171.141663,32403469.179455,nan,nan,1.89178020,1
2041,26596794.056867,33686834.762487,nan,nan,1.93721434,1
2042,27645701.150595,35030483.827841,nan,nan,1.98374885,1
2043,28734551.121887,36427673.367925,nan,nan,2.03140589,1
2044,29869802.154837,37886727.046536,nan,nan,2.08021748,1
2045,31055356.841098,39413284.108879,nan,nan,2.13021183,1
2046,32288745.197858,41003692.766640,nan,nan,2.18120206,1
2047,33579238.763712,42672560.390603,nan,nan,2.23362858,1
2048,34925247.101817,44416584.850424,nan,nan,2.28731520,1
2049,36329656.637138,46238320.651158,nan,nan,2.34229221,1
2050,37795960.634487,48141708.077894,nan,nan,2.39859063,1
2051,39324832.194848,50126926.215368,nan,nan,2.45624222,1
2052,40911910.566783,52186578.744466,nan,nan,2.51527949,1
2053,42559148.490721,54324515.726339,nan,nan,2.57573576,1
2054,44267700.728968,56543000.840206,nan,nan,2.63739037,1
2055,46049725.990480,58861268.167486,nan,nan,2.70078792,1
2056,47901515.475638,61269198.437698,nan,nan,2.76543586,1
2057,49833304.299042,63781751.980922,nan,nan,2.83190479,1
2058,51835458.089785,66382705.814862,nan,nan,2.89996462,1
2059,53908286.581663,69071925.495552,nan,nan,2.96936646,1
2060,56063450.457909,71866723.757904,nan,nan,3.04072287,1
2061,58297435.767279,74760239.278495,nan,nan,3.11378682,1
2062,60613759.900011,77758506.368613,nan,nan,3.18860637,1
2063,63017171.123003,80866993.658094,nan,nan,3.26522373,1
2064,65504894.815419,84079615.322696,nan,nan,3.34335149,1
2065,68080427.965070,87402602.572109,nan,nan,3.42334863,1
2066,70748799.932523,90842620.998657,nan,nan,3.50525988,1
2067,73520301.214673,94411747.385967,nan,nan,3.58947761,1
2068,76398526.270750,98117465.280643,nan,nan,3.67536387,1
2069,79383705.605999,101962610.213783,nan,nan,3.76366854,1
2070,82480957.177450,105949590.184208,nan,nan,3.85409482,1
2071,85696524.811147,110084068.288687,nan,nan,3.94631263,1
2072,89047206.976676,114394535.463798,nan,nan,4.04113652,1
2073,92526487.063244,118869033.047763,nan,nan,4.13823888,1
2074,96148108.321702,123523619.784000,nan,nan,4.23767446,1
2075,99916374.190425,128360613.694116,nan,nan,4.33907027,1
2076,103844899.244817,133404450.522113,nan,nan,4.44332122,1
2077,107939408.571083,138659421.788834,nan,nan,4.55007691,1
2078,112200548.975966,144123994.841110,nan,nan,4.65894765,1
2079,116664567.217512,149853542.483205,nan,nan,4.77089507,1
2080,121323576.822244,155834862.095094,nan,nan,4.88553242,1
2081,126180879.113548,162069505.773134,nan,nan,5.00292432,1
2082,131252523.274700,168579459.031411,nan,nan,5.12313698,1
2083,136550739.361791,175380009.583037,nan,nan,5.24623817,1
2084,142080120.716957,182476785.191245,nan,nan,5.37229729,1
2085,147848300.137303,189881409.221562,nan,nan,5.50138542,1
2086,153861412.108655,197599112.237723,nan,nan,5.63357534,1
2087,160142188.306094,205663505.721718,nan,nan,5.76894158,1
2088,166674725.488639,214046807.764857,nan,nan,5.90699002,1
2089,173477904.946055,222779607.721850,nan,nan,6.04834190,1
2090,180576731.755192,231900577.280390,nan,nan,6.19368872,1
2091,187965063.600416,241395790.751100,nan,nan,6.34252835,1
2092,195648886.348656,251271854.542689,nan,nan,6.49494473,1
2093,203631863.196816,261533582.206514,nan,nan,6.65102380,1
2094,211924172.953067,272194143.472968,nan,nan,6.81085359,1
2095,220542701.253504,283275413.755669,nan,nan,6.97452422,1
2096,229492589.308791,294783439.506607,nan,nan,7.14212799,1
2097,238782165.565441,306728566.412536,nan,nan,7.31375943,1
2098,248423457.490847,319126288.788765,nan,nan,7.48951532,1
2099,258425921.861535,331988498.187196,nan,nan,7.66949477,1
