year,agg_taxable_musd,agg_uncapped_musd,cov_share_workers,cov_share_earnings,price_2013_to_nominal,renorm_comp
2076,80728961.602702,95676735.006463,nan,nan,4.44332122,1
2077,83911172.774944,99445589.717036,nan,nan,4.55007691,1
2078,87222285.924074,103364770.892576,nan,nan,4.65894765,1
2079,90691879.539293,107473991.492485,nan,nan,4.77089507,1
2080,94313325.278828,111763782.567342,nan,nan,4.88553242,1
2081,98088756.253062,116235257.425367,nan,nan,5.00292432,1
2082,102030861.728856,120904181.162861,nan,nan,5.12313698,1
2083,106149076.444589,125781518.351251,nan,nan,5.24623817,1
2084,110446920.969686,130871305.719868,nan,nan,5.37229729,1
2085,114930613.387242,136181876.928967,nan,nan,5.50138542,1
2086,119604486.363034,141716983.736475,nan,nan,5.63357534,1
2087,124486910.330462,147500732.455903,nan,nan,5.76894158,1
2088,129564327.644437,153513198.292816,nan,nan,5.90699002,1
2089,134852425.852376,159776317.274453,nan,nan,6.04834190,1
2090,140371688.182046,166317826.874196,nan,nan,6.19368872,1
2091,146116358.555165,173127740.848204,nan,nan,6.34252835,1
2092,152090910.510763,180210798.381308,nan,nan,6.49494473,1
2093,158298200.062521,187570449.011286,nan,nan,6.65102380,1
2094,164746153.213007,195216139.706939,nan,nan,6.81085359,1
2095,171447925.307703,203163560.935589,nan,nan,6.97452422,1
2096,178407418.234071,211417047.375173,nan,nan,7.14212799,1
2097,185631049.331374,219984019.796737,nan,nan,7.31375943,1
2098,193128176.297504,228875590.481283,nan,nan,7.48951532,1
2099,200906110.554662,238100289.623332,nan,nan,7.66949477,1
