sex,cohort,n_ages,g0,g1,g2,g3,g0_raw,g1_raw,g2_raw,g3_raw,rmse,max_abs_resid,sdlog_gap,max_censored_share,se_g0,se_g1,se_g2,se_g3,h_young,h_old,se_h_young,se_h_old,h_old_filled,n_epuf,n_young,n_old,rmse_gksw,rmse_epuf,J,df,p_value,relevel_shift
male,1963,31,10.195305,0.117864,-0.143289,0.000000,9.639903,0.576388,-0.143289,0.000000,0.056148,0.161382,0.046817,0.000308,0.002685,0.001466,0.001285,0.000000,-1.194162,-0.023758,0.016185,0.017920,0,44,5,13,0.035583,0.066946,4952.194500,69,0.000000,-0.311508
male,1964,31,10.192137,0.095968,-0.130061,0.000000,9.705632,0.512163,-0.130061,0.000000,0.063092,0.281300,0.043954,0.000301,0.002681,0.001515,0.001199,0.000000,-1.323922,0.078939,0.016535,0.017693,0,43,5,12,0.033697,0.077664,4199.021600,68,0.000000,-0.307588
male,1965,31,10.174798,0.081224,-0.124427,0.000000,9.726307,0.479389,-0.124427,0.000000,0.045953,0.123620,0.024228,0.000301,0.002629,0.001386,0.001129,0.000000,-1.527375,0.020429,0.015056,0.017268,0,44,5,11,0.030959,0.054075,4073.724900,69,0.000000,-0.315329
male,1966,31,10.184515,0.075397,-0.109641,0.000000,9.783199,0.426248,-0.109641,0.000000,0.035124,0.117001,0.022881,0.000236,0.002666,0.001440,0.001173,0.000000,-1.690786,0.021908,0.014400,0.018000,0,43,5,10,0.026631,0.040148,3351.711900,68,0.000000,-0.303530
male,1967,31,10.180368,0.077970,-0.101916,0.000000,9.794711,0.404102,-0.101916,0.000000,0.036950,0.085249,0.012168,0.000301,0.002658,0.001408,0.001161,0.000000,-1.809760,-0.014856,0.013968,0.017069,0,43,5,9,0.026770,0.042814,3612.636000,68,0.000000,-0.340726
male,1968,31,10.160451,0.071295,-0.088106,0.000000,9.820827,0.353234,-0.088106,0.000000,0.036567,0.076240,0.009014,0.000337,0.002574,0.001336,0.001154,0.000000,-1.772176,-0.027063,0.013619,0.017223,0,43,5,8,0.029970,0.040665,3057.261500,68,0.000000,-0.354650
male,1969,31,10.138604,0.070024,-0.081036,0.000000,9.819114,0.329340,-0.081036,0.000000,0.031001,0.077639,-0.006581,0.000344,0.002597,0.001368,0.001148,0.000000,-1.632372,-0.058937,0.014284,0.019255,0,43,5,7,0.024532,0.034929,2748.435100,68,0.000000,-0.348947
male,1970,31,10.121379,0.086518,-0.084439,0.000000,9.766786,0.356722,-0.084439,0.000000,0.036139,0.073706,-0.023452,0.000308,0.002459,0.001393,0.001080,0.000000,-1.564864,-0.021910,0.014190,0.020581,0,42,5,6,0.031681,0.039105,4174.504400,67,0.000000,-0.364839
male,1971,31,10.118793,0.088581,-0.080808,0.000000,9.770195,0.347167,-0.080808,0.000000,0.038695,0.110490,-0.015518,0.000250,0.002448,0.001254,0.001077,0.000000,-1.759954,-0.019355,0.012713,0.022251,0,41,5,5,0.029078,0.044611,4586.541800,66,0.000000,-0.374473
male,1972,31,10.130126,0.087785,-0.074829,0.000000,9.798108,0.327236,-0.074829,0.000000,0.029560,0.074305,-0.030096,0.000243,0.002507,0.001252,0.001071,0.000000,-1.711755,0.036634,0.012741,0.025408,0,40,5,4,0.025338,0.032456,3338.173100,65,0.000000,-0.333540
male,1973,31,10.084460,0.086161,-0.068023,0.000000,9.772464,0.303833,-0.068023,0.000000,0.028802,0.063465,-0.033722,0.000243,0.002379,0.001278,0.001044,0.000000,-1.564761,-0.083256,0.012681,,1,39,5,3,0.025909,0.030909,3032.253000,65,0.000000,-0.361064
