sex,cohort,source,g0,g1,g2,g3,h_young,h_old,g0_raw,g1_raw,g2_raw,g3_raw
male,2027,extrap_fwd,10.660330,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.284909,0.344590,-0.068720,0.000000
male,2028,extrap_fwd,10.675908,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.300487,0.344590,-0.068720,0.000000
male,2029,extrap_fwd,10.691781,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.316360,0.344590,-0.068720,0.000000
male,2030,extrap_fwd,10.707359,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.331938,0.344590,-0.068720,0.000000
male,2031,extrap_fwd,10.722642,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.347221,0.344590,-0.068720,0.000000
male,2032,extrap_fwd,10.735854,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.360433,0.344590,-0.068720,0.000000
male,2033,extrap_fwd,10.748178,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.372757,0.344590,-0.068720,0.000000
male,2034,extrap_fwd,10.760403,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.384982,0.344590,-0.068720,0.000000
male,2035,extrap_fwd,10.772628,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.397207,0.344590,-0.068720,0.000000
male,2036,extrap_fwd,10.784853,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.409432,0.344590,-0.068720,0.000000
male,2037,extrap_fwd,10.797078,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.421657,0.344590,-0.068720,0.000000
male,2038,extrap_fwd,10.809204,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.433783,0.344590,-0.068720,0.000000
male,2039,extrap_fwd,10.821330,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.445909,0.344590,-0.068720,0.000000
male,2040,extrap_fwd,10.833259,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.457838,0.344590,-0.068720,0.000000
male,2041,extrap_fwd,10.844990,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.469569,0.344590,-0.068720,0.000000
male,2042,extrap_fwd,10.856523,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.481102,0.344590,-0.068720,0.000000
male,2043,extrap_fwd,10.867958,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.492536,0.344590,-0.068720,0.000000
male,2044,extrap_fwd,10.879194,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.503773,0.344590,-0.068720,0.000000
male,2045,extrap_fwd,10.890233,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.514812,0.344590,-0.068720,0.000000
male,2046,extrap_fwd,10.901173,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.525752,0.344590,-0.068720,0.000000
male,2047,extrap_fwd,10.912113,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.536692,0.344590,-0.068720,0.000000
male,2048,extrap_fwd,10.923053,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.547632,0.344590,-0.068720,0.000000
male,2049,extrap_fwd,10.933993,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.558572,0.344590,-0.068720,0.000000
male,2050,extrap_fwd,10.944933,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.569511,0.344590,-0.068720,0.000000
male,2051,extrap_fwd,10.955873,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.580451,0.344590,-0.068720,0.000000
male,2052,extrap_fwd,10.966813,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.591391,0.344590,-0.068720,0.000000
male,2053,extrap_fwd,10.977753,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.602331,0.344590,-0.068720,0.000000
male,2054,extrap_fwd,10.988692,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.613271,0.344590,-0.068720,0.000000
male,2055,extrap_fwd,10.999533,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.624112,0.344590,-0.068720,0.000000
male,2056,extrap_fwd,11.010473,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.635052,0.344590,-0.068720,0.000000
male,2057,extrap_fwd,11.021413,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.645992,0.344590,-0.068720,0.000000
male,2058,extrap_fwd,11.032452,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.657031,0.344590,-0.068720,0.000000
male,2059,extrap_fwd,11.043590,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.668169,0.344590,-0.068720,0.000000
male,2060,extrap_fwd,11.054728,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.679306,0.344590,-0.068720,0.000000
male,2061,extrap_fwd,11.065964,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.690543,0.344590,-0.068720,0.000000
male,2062,extrap_fwd,11.077201,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.701780,0.344590,-0.068720,0.000000
male,2063,extrap_fwd,11.088438,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.713016,0.344590,-0.068720,0.000000
male,2064,extrap_fwd,11.099773,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.724352,0.344590,-0.068720,0.000000
male,2065,extrap_fwd,11.111109,0.124687,-0.068720,0.000000,-0.553106,-0.083256,10.735687,0.344590,-0.068720,0.000000
